Hostname,Device,Interface,IP Address,IP Version
s3,10.0.100.2,Interface,IP,IPv4
s3,10.0.100.2,-----------------,--------------------,IPv4
s3,10.0.100.2,Ethernet1,10.0.10.18/30,IPv4
s3,10.0.100.2,Ethernet2,10.0.10.37/30,IPv4
s3,10.0.100.2,Ethernet3,10.0.10.21/30,IPv4
s3,10.0.100.2,Ethernet10,10.0.100.2/24,IPv4
s3,10.0.100.2,Management0,172.20.20.3/24,IPv4
s3,10.0.100.2,---------------,------------,IPv6
s3,10.0.100.2,Et1,up,IPv6
s3,10.0.100.2,2001:db8::3/127,up,IPv6
s3,10.0.100.2,Et2,up,IPv6
s3,10.0.100.2,2001:db8::b/127,up,IPv6
s3,10.0.100.2,Et3,up,IPv6
s3,10.0.100.2,2001:db8::4/127,up,IPv6
s3,10.0.100.2,Ma0,up,IPv6
s3,10.0.100.2,3fff:172:20:20::3/64,up,IPv6
r3,10.0.100.3,Interface,IP,IPv4
r3,10.0.100.3,-----------------,---------------------,IPv4
r3,10.0.100.3,Ethernet1,10.0.10.22/30,IPv4
r3,10.0.100.3,Ethernet2,10.0.10.25/30,IPv4
r3,10.0.100.3,Ethernet3,198.51.100.1/30,IPv4
r3,10.0.100.3,Ethernet10,10.0.100.3/24,IPv4
r3,10.0.100.3,Management0,172.20.20.4/24,IPv4
r3,10.0.100.3,---------------,------------,IPv6
r3,10.0.100.3,Et1,up,IPv6
r3,10.0.100.3,2001:db8::5/127,up,IPv6
r3,10.0.100.3,Et2,up,IPv6
r3,10.0.100.3,2001:db8::6/127,up,IPv6
r3,10.0.100.3,Et3,up,IPv6
r3,10.0.100.3,2002:db8::/127,up,IPv6
r3,10.0.100.3,Ma0,up,IPv6
r3,10.0.100.3,3fff:172:20:20::4/64,up,IPv6
r4,10.0.100.4,Interface,IP,IPv4
r4,10.0.100.4,-----------------,---------------------,IPv4
r4,10.0.100.4,Ethernet1,10.0.10.29/30,IPv4
r4,10.0.100.4,Ethernet2,10.0.10.26/30,IPv4
r4,10.0.100.4,Ethernet3,198.51.100.5/30,IPv4
r4,10.0.100.4,Ethernet10,10.0.100.4/24,IPv4
r4,10.0.100.4,Management0,172.20.20.10/24,IPv4
r4,10.0.100.4,---------------,------------,IPv6
r4,10.0.100.4,Et1,up,IPv6
r4,10.0.100.4,2001:db8::8/127,up,IPv6
r4,10.0.100.4,Et2,up,IPv6
r4,10.0.100.4,2001:db8::7/127,up,IPv6
r4,10.0.100.4,Et3,up,IPv6
r4,10.0.100.4,2002:db8::3/127,up,IPv6
r4,10.0.100.4,Ma0,up,IPv6
r4,10.0.100.4,3fff:172:20:20::a/64,up,IPv6
s4,10.0.100.5,Interface,IP,IPv4
s4,10.0.100.5,-----------------,---------------------,IPv4
s4,10.0.100.5,Ethernet1,10.0.10.33/30,IPv4
s4,10.0.100.5,Ethernet2,10.0.10.38/30,IPv4
s4,10.0.100.5,Ethernet3,10.0.10.30/30,IPv4
s4,10.0.100.5,Ethernet10,10.0.100.5/24,IPv4
s4,10.0.100.5,Management0,172.20.20.12/24,IPv4
s4,10.0.100.5,---------------,------------,IPv6
s4,10.0.100.5,Et1,up,IPv6
s4,10.0.100.5,2001:db8::c/127,up,IPv6
s4,10.0.100.5,Et2,up,IPv6
s4,10.0.100.5,2001:db8::a/127,up,IPv6
s4,10.0.100.5,Et3,up,IPv6
s4,10.0.100.5,2001:db8::9/127,up,IPv6
s4,10.0.100.5,Ma0,up,IPv6
s4,10.0.100.5,3fff:172:20:20::c/64,up,IPv6
r2,10.0.100.6,Interface,IP,IPv4
r2,10.0.100.6,-----------------,--------------------,IPv4
r2,10.0.100.6,Ethernet1,10.0.10.14/30,IPv4
r2,10.0.100.6,Ethernet3,10.0.10.34/30,IPv4
r2,10.0.100.6,Ethernet10,10.0.100.6/24,IPv4
r2,10.0.100.6,Management0,172.20.20.2/24,IPv4
r2,10.0.100.6,---------------,------------,IPv6
r2,10.0.100.6,Et1,up,IPv6
r2,10.0.100.6,2001:db8::e/127,up,IPv6
r2,10.0.100.6,Et3,up,IPv6
r2,10.0.100.6,2001:db8::d/127,up,IPv6
r2,10.0.100.6,Ma0,up,IPv6
r2,10.0.100.6,3fff:172:20:20::2/64,up,IPv6
s2,10.0.100.7,Interface,IP,IPv4
s2,10.0.100.7,-----------------,---------------------,IPv4
s2,10.0.100.7,Ethernet3,10.0.10.13/30,IPv4
s2,10.0.100.7,Ethernet10,10.0.100.7/24,IPv4
s2,10.0.100.7,Management0,172.20.20.15/24,IPv4
s2,10.0.100.7,Vlan10,10.0.110.3/24,IPv4
s2,10.0.100.7,Vlan20,10.0.120.3/24,IPv4
s2,10.0.100.7,Vlan150,10.0.150.2/30,IPv4
s2,10.0.100.7,---------------,------------,IPv6
s2,10.0.100.7,Et3,up,IPv6
s2,10.0.100.7,2001:db8::f/127,up,IPv6
s2,10.0.100.7,Ma0,up,IPv6
s2,10.0.100.7,3fff:172:20:20::f/64,up,IPv6
s2,10.0.100.7,Vl30,up,IPv6
s2,10.0.100.7,2001:db7::/64,up,IPv6
s1,10.0.100.8,Interface,IP,IPv4
s1,10.0.100.8,-----------------,---------------------,IPv4
s1,10.0.100.8,Ethernet3,10.0.10.1/30,IPv4
s1,10.0.100.8,Ethernet10,10.0.100.8/24,IPv4
s1,10.0.100.8,Management0,172.20.20.14/24,IPv4
s1,10.0.100.8,Vlan10,10.0.110.2/24,IPv4
s1,10.0.100.8,Vlan20,10.0.120.2/24,IPv4
s1,10.0.100.8,Vlan150,10.0.150.1/30,IPv4
